scene,listener,haspi
S06001,L0064,0.02424927775720473
S06001,L0068,0.02826066262744237
S06001,L0008,0.040165905867387365
S06002,L0044,0.021070033582189118
S06002,L0082,0.0366497979510561
S06002,L0078,0.019901913381186728
S06003,L0066,0.17126736206725598
S06003,L0051,0.27122179826927156
S06003,L0077,0.32835348597731817
S06004,L0059,0.06950091803761786
S06004,L0092,0.02419859223733305
S06004,L0036,0.0319099241376431
S06005,L0081,0.014420236772789105
S06005,L0023,0.017519981102981246
S06005,L0048,0.013564756166672732
S06006,L0023,0.02054390457598133
S06006,L0015,0.031029217327397517
S06006,L0097,0.01698269356817259
S06007,L0042,0.13595394859280713
S06007,L0085,0.4884181378543321
S06007,L0095,0.33628697247243433
S06008,L0024,0.44685873065102416
S06008,L0053,0.5617501545975789
S06008,L0015,0.47364138862446287
S06009,L0012,0.21788231770513797
S06009,L0056,0.26218652385730623
S06009,L0076,0.08917112423766824
S06010,L0089,0.6922780160215788
S06010,L0015,0.9409276003473434
S06010,L0059,0.8188178687758065
S06011,L0070,0.16420401730987993
S06011,L0054,0.22179456119765176
S06011,L0096,0.08600051514046275
S06012,L0099,0.2074377782496692
S06012,L0035,0.387869220351538
S06012,L0088,0.742444133465871
S06013,L0077,0.06792061741242461
S06013,L0071,0.0414796738152729
S06013,L0083,0.059804426889897656
S06014,L0044,0.39702993957434046
S06014,L0010,0.3309310848090484
S06014,L0088,0.4966335082426852
S06015,L0002,0.6441292045521638
S06015,L0014,0.5928129063841922
S06015,L0066,0.4107327405774625
S06016,L0098,0.07180281654594778
S06016,L0001,0.028981649845713588
S06016,L0096,0.12761636965426024
S06017,L0080,0.01843728470612789
S06017,L0056,0.03202370441780217
S06017,L0041,0.013765392642895462
S06018,L0055,0.0226434983168007
S06018,L0011,0.021052856006578524
S06018,L0032,0.030914968397780497
S06019,L0090,0.628396152063421
S06019,L0038,0.639644481061762
S06019,L0040,0.6721871803611662
S06020,L0024,0.5954841169914888
S06020,L0086,0.5650377794605242
S06020,L0072,0.5327393289100166
S06021,L0014,0.2873902599497107
S06021,L0013,0.38548874549780276
S06021,L0054,0.3357946679244893
S06022,L0082,0.019443650407794336
S06022,L0078,0.032589764870871826
S06022,L0017,0.028956208073187824
S06023,L0051,0.1396838945407312
S06023,L0088,0.16417672555739152
S06023,L0049,0.02792193872962641
S06024,L0021,0.024136607251350112
S06024,L0088,0.03905231925859717
S06024,L0056,0.05761799565523692
S06025,L0086,0.5309298318308175
S06025,L0035,0.5613016468780099
S06025,L0095,0.43784406115997915
S06026,L0088,0.2883279677793431
S06026,L0093,0.146089051464498
S06026,L0048,0.3345199638052059
S06027,L0071,0.9203189843187444
S06027,L0014,0.5605074157443485
S06027,L0094,0.9668042177619298
S06028,L0064,0.044644324323332575
S06028,L0054,0.04329754703539879
S06028,L0091,0.02860215728249356
S06029,L0040,0.04455478100929482
S06029,L0049,0.039644105091354215
S06029,L0031,0.015034092056853094
S06030,L0032,0.8281250097444081
S06030,L0031,0.6181240683689992
S06030,L0005,0.563931783297294
S06031,L0096,0.005794159766432465
S06031,L0044,0.007818709158692594
S06031,L0076,0.011848376927893653
S06032,L0011,0.017422848277511727
S06032,L0014,0.04020262294790585
S06032,L0022,0.0440580087915578
S06033,L0026,0.009813942819606526
S06033,L0005,0.0239685089245921
S06033,L0013,0.14127547103991497
S06034,L0086,0.11426312926227736
S06034,L0065,0.4828840187762283
S06034,L0084,0.20349675703074727
S06035,L0047,0.01201378662700351
S06035,L0083,0.014603787604015308
S06035,L0040,0.012228953199268715
S06036,L0036,0.46028426472542305
S06036,L0093,0.46403140844956575
S06036,L0068,0.210694855921808
S06037,L0092,0.5595870145858454
S06037,L0047,0.5299398749066118
S06037,L0072,0.45035008986756414
S06038,L0080,0.024311802524003476
S06038,L0100,0.020772103839467582
S06038,L0059,0.020130112676076815
S06039,L0013,0.7325209014168137
S06039,L0055,0.741427483962078
S06039,L0096,0.5509271997519156
S06040,L0019,0.041783195052087156
S06040,L0078,0.08321565473925764
S06040,L0093,0.09174301272501044
S06041,L0098,0.19543657302228384
S06041,L0056,0.1058486289136686
S06041,L0032,0.06452396670596551
S06042,L0041,0.015775950965514682
S06042,L0003,0.035386423108423264
S06042,L0045,0.02593103019889731
S06043,L0019,0.4312218381149955
S06043,L0038,0.5600993671693527
S06043,L0062,0.4913157449730313
S06044,L0028,0.044396249451195684
S06044,L0056,0.016151820892273475
S06044,L0069,0.030215806439482133
S06045,L0010,0.02195988979548658
S06045,L0015,0.24727819528612005
S06045,L0024,0.08294728900935325
S06046,L0038,0.4901835256832525
S06046,L0008,0.6209954405451754
S06046,L0091,0.7085690140490986
S06047,L0099,0.19602630976838256
S06047,L0085,0.29548039324818853
S06047,L0095,0.19475961081430154
S06048,L0012,0.038263565998489145
S06048,L0004,0.034986132314715375
S06048,L0021,0.023662128171166478
S06049,L0099,0.011242985013157484
S06049,L0032,0.012045276442063341
S06049,L0095,0.015192571425759837
S06050,L0091,0.10068318462032168
S06050,L0021,0.02882752117190248
S06050,L0065,0.0450282625732394
